age,sex,educ,race,income,married
59,1,19,1,190000,1
31,0,1,3,60000,0
36,1,11,1,10000,1
54,1,11,1,50000,1
39,0,5,3,80000,0
34,0,9,1,10000,1
93,1,8,1,30000,1
69,0,13,1,190000,1
40,1,11,3,80000,1
27,1,11,1,70000,0
59,1,13,1,90000,1
31,1,11,3,10000,1
73,1,13,4,80000,0
89,1,9,1,20000,1
39,1,10,3,60000,0
51,1,13,4,120000,1
32,0,9,1,60000,0
52,0,11,2,90000,0
24,0,7,1,10000,0
48,1,10,1,20000,1
51,0,1,3,60000,1
43,1,14,1,190000,1
29,0,4,3,20000,0
44,1,15,1,60000,1
87,1,8,1,20000,0
27,1,11,3,60000,0
58,0,13,1,110000,1
32,1,11,3,70000,1
74,1,7,3,30000,0
28,1,13,4,70000,0
70,0,15,1,190000,1
35,0,9,1,30000,0
36,1,11,3,20000,1
63,1,9,3,80000,1
21,1,9,3,60000,0
29,0,1,3,70000,1
44,0,13,1,50000,1
35,1,11,3,10000,1
43,0,13,3,110000,1
59,1,10,4,30000,1
53,0,5,3,60000,1
42,0,10,1,80000,1
32,0,11,1,60000,1
50,0,16,1,100000,1
18,0,4,3,10000,0
40,1,13,1,40000,1
42,1,11,1,30000,0
52,0,11,1,190000,1
56,1,14,1,100000,1
45,1,11,1,10000,1
39,0,8,1,60000,0
28,0,10,1,90000,1
46,1,13,1,90000,1
45,0,11,3,50000,1
32,1,9,4,60000,1
22,1,9,1,30000,1
52,1,15,1,90000,1
21,0,3,3,60000,1
60,1,13,1,20000,1
77,1,11,1,20000,1
38,0,1,3,20000,0
40,1,11,3,60000,1
34,1,11,2,60000,0
48,1,12,1,120000,1
69,1,9,1,30000,1
46,0,11,1,130000,1
40,0,13,1,190000,0
26,1,9,3,60000,1
37,1,14,1,110000,0
30,0,5,3,60000,1
70,1,15,4,20000,1
42,1,4,3,10000,0
24,1,3,3,60000,1
31,0,9,3,70000,1
20,0,8,3,50000,0
33,1,11,1,60000,0
47,0,7,1,190000,1
19,1,10,1,10000,0
33,1,5,1,30000,0
66,1,13,4,30000,1
23,0,11,1,110000,0
51,1,9,1,50000,0
23,0,13,1,70000,0
47,1,13,1,110000,1
48,1,8,3,60000,1
43,1,11,1,40000,1
31,0,10,3,60000,0
47,1,3,3,60000,1
74,0,11,1,70000,0
93,1,1,2,30000,0
55,1,11,1,60000,0
29,1,9,3,70000,0
33,0,11,3,160000,1
50,0,2,3,60000,1
28,0,11,2,40000,1
29,1,13,1,80000,0
38,1,10,1,80000,1
42,0,9,3,100000,1
50,1,10,1,70000,0
77,0,4,3,60000,1
37,1,3,3,10000,1
40,0,11,1,40000,0
30,0,6,3,40000,1
19,1,11,1,30000,0
50,1,9,3,60000,0
82,1,9,3,20000,0
22,1,9,3,70000,0
63,0,12,1,140000,1
48,1,12,1,30000,0
46,0,15,1,100000,1
45,1,9,3,10000,0
37,1,10,3,60000,0
76,0,13,4,20000,0
25,0,9,1,10000,0
40,1,10,3,80000,1
34,0,9,3,70000,1
56,1,13,4,20000,1
43,1,11,3,70000,1
42,0,14,1,160000,1
22,1,11,1,10000,1
45,1,11,1,80000,0
32,1,3,3,60000,1
23,0,11,3,30000,1
19,0,10,2,60000,0
52,1,9,1,150000,0
44,1,13,4,70000,1
43,0,13,4,100000,0
34,1,13,4,10000,1
32,1,13,1,70000,0
38,0,10,1,60000,0
40,1,10,1,110000,1
82,0,14,1,20000,1
31,1,9,2,70000,0
42,1,9,1,20000,1
47,0,1,2,20000,0
66,0,16,1,120000,1
30,0,9,4,30000,0
42,1,10,3,70000,0
50,1,11,1,90000,1
26,1,10,1,60000,1
53,0,9,3,30000,0
22,0,8,4,30000,1
28,1,2,3,10000,1
25,0,6,3,70000,1
30,1,11,3,20000,1
86,1,9,1,60000,1
33,0,12,3,80000,0
62,1,11,2,30000,0
23,1,12,3,10000,0
36,0,12,1,60000,1
84,1,9,1,30000,1
29,0,6,1,70000,0
29,0,11,1,140000,1
18,1,8,2,10000,0
44,1,13,3,70000,1
61,0,9,1,60000,1
72,1,13,1,70000,1
59,0,13,1,30000,1
33,0,13,4,140000,1
51,0,13,1,181000,1
35,1,15,1,80000,1
47,1,13,1,120000,0
50,0,16,4,90000,1
30,1,11,1,10000,0
31,1,8,2,10000,1
30,0,13,4,110000,1
77,1,10,1,10000,1
59,0,1,1,30000,1
22,1,13,1,30000,0
66,1,12,1,60000,0
49,1,11,3,80000,0
44,1,13,1,70000,1
18,0,7,1,20000,0
35,0,12,3,70000,0
38,1,3,3,30000,1
55,1,9,1,70000,0
32,0,11,2,80000,0
29,0,9,1,40000,1
36,1,9,2,10000,0
21,0,11,1,60000,0
43,1,13,3,20000,1
81,0,9,4,70000,1
45,1,12,1,80000,1
37,1,8,3,70000,0
41,1,9,1,80000,1
46,0,9,1,10000,0
29,1,14,4,80000,1
40,1,9,1,30000,1
24,1,5,3,20000,0
63,1,12,1,130000,1
61,0,1,3,60000,1
43,1,12,1,70000,1
86,1,13,1,80000,0
38,0,14,4,120000,1
75,0,3,2,40000,0
32,0,13,1,160000,0
63,1,10,1,60000,0
27,0,11,3,70000,0
64,0,13,1,170000,1
71,1,4,1,60000,1
54,1,11,1,20000,1
57,1,14,1,90000,1
56,1,12,1,60000,1
31,0,15,2,90000,0
53,0,12,1,40000,1
29,1,9,1,10000,1
18,0,7,4,30000,0
27,1,3,3,20000,1
67,1,1,3,50000,0
75,0,13,1,90000,1
27,0,8,1,40000,0
37,0,13,3,100000,1
77,1,10,1,60000,0
38,1,13,1,60000,0
51,1,12,1,30000,1
23,1,11,3,60000,1
34,0,1,3,30000,1
39,1,14,3,100000,1
53,1,6,1,10000,0
30,1,10,1,70000,1
39,1,8,3,70000,0
40,0,13,1,60000,0
43,0,14,1,100000,1
34,1,15,4,120000,0
72,0,6,1,60000,1
73,0,11,1,90000,1
77,1,9,1,60000,0
43,1,13,1,70000,1
31,1,5,3,30000,1
36,0,12,1,80000,0
61,0,12,1,110000,1
74,0,11,1,120000,1
38,1,13,1,40000,1
45,1,15,2,90000,1
32,1,12,4,70000,1
55,0,11,1,50000,1
51,1,12,1,10000,1
47,1,13,1,10000,1
42,1,9,4,10000,1
30,0,16,1,110000,0
36,1,13,1,100000,0
42,1,13,1,20000,1
65,1,9,1,30000,1
51,0,13,1,100000,1
70,1,3,3,60000,1
57,1,11,1,110000,1
48,0,2,4,10000,1
69,1,13,1,20000,1
76,0,9,1,60000,1
46,0,9,1,50000,0
35,0,9,3,20000,1
72,0,9,1,180000,1
18,1,9,3,20000,0
40,1,13,1,10000,1
33,1,13,1,120000,1
46,0,13,1,90000,1
51,1,12,1,60000,0
48,0,11,4,70000,1
30,0,9,1,50000,0
28,1,4,3,10000,1
40,1,14,1,20000,1
18,1,7,1,10000,0
37,0,11,1,110000,1
41,0,11,1,90000,0
93,1,9,1,60000,1
52,1,12,1,70000,1
43,0,3,3,60000,0
35,1,11,1,50000,1
34,0,9,1,90000,1
66,0,11,3,60000,0
86,1,9,1,70000,0
42,1,12,2,10000,0
73,1,11,2,60000,0
19,1,9,3,10000,0
37,0,4,3,100000,1
85,0,11,1,160000,1
40,1,3,3,10000,1
73,0,15,1,160000,1
78,1,13,4,70000,1
62,1,14,1,190000,1
48,0,9,3,90000,0
75,1,8,1,60000,0
71,1,9,1,80000,0
29,0,11,6,10000,0
30,0,12,1,80000,1
74,1,5,4,10000,0
53,1,10,2,10000,1
19,1,7,3,20000,0
31,0,7,1,10000,1
41,1,9,1,70000,1
49,1,6,3,10000,0
38,0,12,3,40000,1
35,1,11,4,120000,1
45,0,10,1,90000,0
42,0,14,1,90000,1
28,0,9,1,10000,0
32,1,1,4,50000,0
48,1,14,1,70000,0
27,1,14,1,70000,0
44,0,13,4,90000,1
75,1,9,1,60000,0
52,0,12,1,168000,1
39,1,12,1,80000,0
60,0,13,4,167000,1
34,1,13,3,120000,1
50,0,12,1,100000,0
47,1,1,3,40000,1
48,0,13,1,190000,1
68,0,13,1,80000,1
30,0,8,1,50000,1
67,0,13,1,100000,1
29,1,5,3,20000,1
40,1,11,5,100000,0
84,0,13,1,80000,1
67,0,4,2,60000,1
74,0,12,1,60000,0
72,1,2,3,40000,0
72,1,9,4,60000,1
82,1,13,1,50000,1
24,0,5,3,10000,0
54,1,10,1,80000,1
67,0,6,1,30000,1
18,0,11,4,20000,0
40,0,11,2,30000,1
70,1,9,1,30000,1
73,0,13,1,40000,1
41,1,14,1,60000,1
68,0,14,1,90000,1
82,0,15,1,180000,1
20,1,3,3,10000,0
31,1,14,1,80000,0
27,0,9,3,90000,0
70,1,9,1,30000,1
49,0,15,1,100000,1
62,1,10,3,70000,1
53,0,9,1,60000,0
40,0,4,3,10000,1
80,0,8,1,70000,1
36,0,11,4,10000,0
29,0,2,3,70000,1
38,1,11,3,10000,1
65,1,13,1,10000,0
20,1,9,3,60000,0
40,1,8,3,60000,1
42,0,13,1,190000,1
36,1,5,3,70000,1
37,0,11,1,100000,1
25,1,9,2,10000,0
74,1,9,1,40000,1
40,0,9,1,80000,0
48,1,4,4,60000,0
44,0,14,1,180000,0
40,1,10,3,60000,1
23,0,11,1,10000,0
66,1,5,2,10000,1
47,0,13,1,80000,0
58,0,10,1,80000,0
42,1,9,1,20000,1
26,0,9,1,70000,0
32,1,8,3,10000,1
36,0,14,3,110000,1
22,1,11,1,60000,0
23,1,12,4,20000,1
46,1,12,1,50000,0
23,0,8,3,70000,0
71,0,15,1,90000,1
55,1,9,4,10000,1
34,1,3,3,10000,1
49,0,13,1,60000,0
42,1,11,2,10000,0
71,0,1,3,50000,1
28,1,13,3,70000,1
23,1,12,2,60000,0
18,1,9,3,10000,0
48,0,10,1,60000,1
65,0,12,1,70000,0
44,1,1,3,60000,0
52,1,13,1,90000,0
65,0,6,1,70000,0
20,1,9,1,30000,0
27,1,13,1,30000,1
36,1,16,4,10000,1
88,1,11,1,10000,1
84,1,1,4,60000,0
41,0,13,1,80000,1
35,0,9,1,30000,1
30,1,11,1,80000,1
23,1,13,4,60000,1
23,0,6,3,30000,0
51,1,16,1,160000,0
27,1,13,1,90000,0
47,1,13,1,10000,1
71,1,9,1,40000,1
78,1,1,3,50000,0
44,1,12,1,30000,1
50,1,9,4,20000,1
38,0,2,3,60000,1
25,0,11,1,10000,0
43,0,13,4,70000,1
20,0,11,4,20000,0
66,1,9,1,20000,0
26,0,13,3,70000,0
62,0,13,1,70000,1
45,1,11,1,110000,0
38,1,8,2,20000,1
51,1,7,1,40000,0
21,0,13,1,30000,0
42,1,13,1,20000,0
20,0,10,4,80000,0
51,1,9,1,20000,0
22,1,11,3,60000,0
65,0,6,3,60000,0
33,1,9,3,60000,1
27,1,12,3,80000,0
58,0,9,1,140000,1
73,0,1,3,40000,0
19,0,11,3,30000,0
24,1,13,4,20000,0
30,1,11,1,70000,1
37,0,13,1,100000,1
51,0,1,3,100000,1
45,0,9,1,80000,0
81,1,14,1,30000,0
61,0,13,1,140000,1
30,1,12,4,60000,0
58,1,9,1,80000,0
58,0,12,2,90000,1
46,0,4,3,70000,0
47,1,2,3,60000,1
23,0,10,2,20000,0
36,0,8,3,10000,1
82,0,9,1,70000,1
20,1,11,2,50000,0
22,1,9,3,10000,0
67,0,14,1,140000,1
22,0,13,3,60000,0
79,0,6,3,100000,1
18,0,8,4,10000,0
48,1,14,1,80000,0
32,0,9,3,20000,0
35,0,9,1,60000,0
49,1,11,1,30000,1
46,0,11,1,60000,1
28,0,11,3,10000,0
50,0,8,3,60000,1
28,1,9,2,50000,0
87,1,4,1,40000,1
49,0,8,1,80000,1
23,1,6,4,20000,0
40,1,3,3,20000,1
26,1,9,3,80000,0
48,1,9,2,10000,0
82,1,3,2,50000,0
78,0,5,2,10000,0
34,1,8,1,70000,1
36,1,13,4,110000,0
19,1,9,3,20000,0
31,1,3,3,10000,1
34,0,9,1,60000,1
19,0,5,3,10000,0
33,0,13,1,150000,0
93,1,2,3,10000,0
30,1,16,1,60000,0
42,1,6,2,10000,1
31,0,3,3,60000,1
23,0,13,1,70000,1
62,1,12,1,100000,1
59,1,2,1,10000,1
88,1,12,1,60000,1
37,0,12,1,70000,0
32,1,13,1,90000,0
42,0,9,1,60000,1
40,0,13,1,20000,0
64,0,9,1,60000,1
31,1,14,1,80000,0
30,0,11,4,80000,1
69,0,10,1,70000,1
53,0,12,3,120000,1
51,1,9,1,100000,0
27,0,7,3,60000,0
29,1,12,4,80000,1
28,1,11,4,50000,1
42,1,12,3,60000,1
34,0,9,3,110000,1
37,0,14,1,140000,1
31,1,9,3,20000,1
36,0,9,1,110000,1
44,1,1,3,10000,1
53,0,11,1,80000,0
23,1,9,1,50000,0
37,0,10,4,100000,1
29,1,8,3,30000,1
